id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
794723189688979530,Rental unit in Albany · ★New · 3 bedrooms · 3 beds · 1 bath,20144241,Carla,,FIFTH WARD,42.67283,-73.77367,Entire home/apt,111,3,2,6/19/2023,1.62,1,146,2,
796983497677050358,Rental unit in Albany · ★4.50 · 1 bedroom · 1 bed · 1 bath,18760261,Shane,,NINTH WARD,42.6538578,-73.7855281,Entire home/apt,153,2,6,5/29/2023,1.75,1,288,6,
797455132224782470,Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,89705052,Share,,TENTH WARD,42.65741,-73.78034,Private room,63,2,3,6/12/2023,0.58,4,88,3,
798448539017629897,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,222612368,Patrick,,SIXTH WARD,42.65315,-73.77012,Entire home/apt,75,30,2,5/18/2023,0.59,1,276,2,
798715218269100922,Rental unit in Albany · ★4.67 · 1 bedroom · 1 bed · 1 bath,491607190,Abba,,SIXTH WARD,42.65038,-73.76664,Entire home/apt,95,1,3,3/19/2023,0.61,2,0,3,
801365637253057708,Home in Albany · ★4.60 · 3 bedrooms · 5 beds · 1 bath,121680792,Evolve,,THIRTEENTH WARD,42.66958,-73.79722,Entire home/apt,132,2,5,5/21/2023,1.16,11,352,5,
803604897479679272,Rental unit in Albany · 3 bedrooms · 3 beds · 2 baths,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,125,14,1,6/20/2023,1,2,182,1,
805896945977358156,Rental unit in Albany · ★4.72 · 2 bedrooms · 2 beds · 1 bath,496444061,Diana,,THIRD WARD,42.65588,-73.75332,Entire home/apt,97,1,25,6/19/2023,5.51,1,144,25,
806767523952124375,Home in Albany · ★4.75 · 2 bedrooms · 2 beds · 2 baths,110453341,Alexis,,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,103,1,12,6/19/2023,2.31,1,337,12,
812481224035365997,Rental unit in Albany · ★4.92 · 2 bedrooms · 2 beds · 1 bath,266096073,Caroline,,THIRTEENTH WARD,42.67239,-73.79418,Entire home/apt,104,1,13,6/18/2023,2.87,1,162,13,
812994554430033036,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,178347010,Jose,,FIFTH WARD,42.6672,-73.76703,Private room,100,1,3,4/26/2023,0.62,2,365,3,
813883645321121112,Rental unit in Albany · 1 bedroom · 2 beds · 1 bath,121680792,Evolve,,SIXTH WARD,42.65081,-73.76572,Entire home/apt,106,2,0,,,11,159,0,
816085193659797849,Rental unit in Albany · ★4.83 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,98,1,6,3/25/2023,1.23,7,358,6,
817160514282672518,Townhouse in Albany · 1 bedroom · 1 bed · 1 bath,121680792,Evolve,,TENTH WARD,42.66011,-73.77547,Entire home/apt,101,2,0,,,11,309,0,
821566342267452838,Home in Albany · 1 bedroom · 1 bed · 0 shared baths,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,60,2,2,3/9/2023,0.5,2,336,2,
826301775871257033,Rental unit in Albany · ★4.64 · 2 bedrooms · 2 beds · 1 bath,484673863,Blossom Estates,,NINTH WARD,42.65613,-73.77469,Entire home/apt,157,1,11,6/10/2023,2.46,2,320,11,
831122937768017113,Home in Albany · ★5.0 · 5 bedrooms · 5 beds · 2 baths,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,203,2,16,6/30/2023,4.21,1,327,16,
841524433909352403,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120,2,2,6/29/2023,2,1,360,2,
843481456379840308,Rental unit in Albany · 3 bedrooms · 2 beds · 1 bath,188679144,Elizabeth,,SIXTH WARD,42.65481,-73.76352,Entire home/apt,100,1,1,3/21/2023,0.29,8,361,1,
845960193409947556,Home in Albany · ★5.0 · 4 bedrooms · 5 beds · 2 baths,268741708,Nanette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,433,1,17,6/29/2023,5.05,1,110,17,
846586211673806912,Rental unit in Albany · ★5.0 · 3 bedrooms · 3 beds · 2 baths,49372011,Phil,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,175,3,5,5/22/2023,1.85,2,324,5,
850173470105833039,Townhouse in Albany · ★5.0 · 1 bedroom · 2 beds · 1 private bath,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,90,1,20,6/28/2023,6.82,1,325,20,
850653820133738660,Home in Albany · 1 bedroom · 1 bed · 1.5 shared baths,20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,50,5,0,,,1,80,0,
855336679720071303,Rental unit in Albany · ★4.75 · 1 bedroom · 2 beds · 1 bath,186074828,Blake,,SECOND WARD,42.6457663,-73.7586141,Entire home/apt,85,1,8,6/25/2023,2.79,1,81,8,
857981934159027424,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,77,4,1,5/24/2023,0.73,3,339,1,
861709357097860588,Rental unit in Albany · ★4.50 · 2 bedrooms · 2 beds · 1 bath,232967878,Diana,,TENTH WARD,42.66126,-73.78366,Entire home/apt,135,1,4,6/11/2023,2.35,19,79,4,
869439435925961497,Bed and breakfast in Albany · ★4.14 · 1 bedroom · 1 bed · 1 bath,485300126,John,,THIRD WARD,42.65856,-73.75808,Private room,51,1,7,6/27/2023,3.09,3,351,7,
870292500281763717,Rental unit in Albany · ★4.75 · 1 bedroom · 2 beds · 1.5 baths,510191554,He,,FOURTEENTH WARD,42.66947,-73.81607,Entire home/apt,90,1,20,6/30/2023,7.89,1,331,20,
870457209918967324,Home in Albany · 1 bedroom · 1 bed · 1 private bath,177073982,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,48,2,0,,,2,345,0,
876171723562246842,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,160195919,Joshua,,SIXTH WARD,42.65731,-73.7684,Entire home/apt,56,20,1,5/6/2023,0.51,1,58,1,
878170065450353510,Bed and breakfast in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,485300126,John,,THIRD WARD,42.65768,-73.75655,Private room,51,1,3,7/1/2023,3,3,341,3,
879054943124868639,Home in Albany · ★New · 2 bedrooms · 2 beds · 2 baths,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Entire home/apt,199,7,0,,,1,356,0,
880290989870286099,Rental unit in Albany · ★4.83 · 3 bedrooms · 3 beds · 2 baths,49372011,Phil,,ELEVENTH WARD,42.67355,-73.78496,Entire home/apt,175,2,6,7/2/2023,3.53,2,163,6,
881068664638997848,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,49485863,Drew,,THIRD WARD,42.65764,-73.74996,Entire home/apt,160,2,0,,,1,316,0,
881231954286264195,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,112,1,8,6/13/2023,3.81,7,313,8,
882229561343619620,Rental unit in Albany · ★4.88 · 1 bedroom · 1 bed · 1 bath,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,86,1,8,6/20/2023,5.11,1,123,8,
887167811237271928,Rental unit in Albany · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,459472925,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,69,1,5,6/25/2023,5,2,324,5,
887179061681202083,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,459472925,Gabriel,,THIRD WARD,42.6628771,-73.7653403,Private room,45,1,4,6/4/2023,2.61,2,355,4,
888820187503274303,Rental unit in Albany · ★4.20 · 2 bedrooms · 3 beds · 1 bath,199669072,Sequasia,,FOURTEENTH WARD,42.66958,-73.80722,Entire home/apt,132,1,5,7/2/2023,5,1,356,5,
888859204851381094,Rental unit in Albany · ★New · 2 bedrooms · 3 beds · 1 bath,121680792,Evolve,,THIRD WARD,42.6573,-73.7521,Entire home/apt,127,2,2,6/12/2023,1.36,11,353,2,
889016843400317466,Rental unit in Albany · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,232967878,Diana,,SECOND WARD,42.64311,-73.75754,Entire home/apt,145,1,3,6/17/2023,1.73,19,361,3,
889398599410215550,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,311438508,Donna,,SIXTH WARD,42.65537187889508,-73.76467567,Entire home/apt,99,2,0,,,1,76,0,
897797666103863249,Home in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,37769478,Erion,,TENTH WARD,42.66215778253739,-73.79234534,Entire home/apt,139,1,1,6/18/2023,1,7,334,1,
898743867240851780,Home in Albany · ★New · 4 bedrooms · 4 beds · 2 baths,516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,180,2,2,6/25/2023,2,1,66,2,
899222617912073384,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,9318285,Mesut,,FIFTEENTH WARD,42.67579,-73.82485,Private room,49,2,0,,,1,363,0,
902166216060824525,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,135,1,1,6/19/2023,1,13,348,1,
902326803627859755,Home in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,60,89,0,,,5,336,0,
904392960639597224,Rental unit in Albany · ★New · 1 bedroom · 2 beds · 2 baths,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,199,1,2,6/21/2023,2,9,177,2,
905007131419044966,Home in Albany · ★New · 4 bedrooms · 4 beds · 1 bath,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,241,7,0,,,5,337,0,
908035738595779392,Rental unit in Albany · ★New · 1 bedroom · 2 beds · 1 bath,4763049,Steve,,THIRD WARD,42.65661,-73.7514,Entire home/apt,90,2,0,,,1,21,0,
910155617642317638,Home in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,75,1,0,,,2,339,0,
916781844562671031,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,407186700,Leon,,SEVENTH WARD,42.64391,-73.77292,Private room,72,2,0,,,1,365,0,
916983723755256572,Guesthouse in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,283643924,Joseph,,FOURTEENTH WARD,42.65872,-73.79555,Private room,44,1,0,,,1,364,0,
917396841668831875,Home in Albany · ★New · 3 bedrooms · 1 bed · Shared half-bath,520877999,Kelvin,,TENTH WARD,42.659482858680185,-73.77622407,Private room,150,1,0,,,2,348,0,
917639722733180899,Rental unit in Albany · ★5.0 · 2 bedrooms · 3 beds · 1 bath,471810429,Maria,,SEVENTH WARD,42.651937304486545,-73.78593012,Entire home/apt,116,1,4,7/3/2023,4,1,333,4,
919055506310955442,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,502751555,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,93,1,0,,,1,364,0,
919729008458872053,Home in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,382446799,Elizabeth,,NINTH WARD,42.6559529,-73.7807478,Private room,22,1,0,,,2,339,0,
921076441920995839,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,60,14,0,,,1,242,0,
922634062451094710,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,260986425,Connie,,NINTH WARD,42.65483722729842,-73.79149619,Entire home/apt,125,5,0,,,1,85,0,
923246467979486653,Home in Albany · ★New · 2 bedrooms · 1 bed · Half-bath,520877999,Kelvin,,TENTH WARD,42.66111396707125,-73.77725785,Private room,150,1,0,,,2,364,0,
923295103978000090,Home in Albany · ★New · 1 bedroom · 1 bed · 1 bath,522414870,Marcus,,EIGHTH WARD,42.64364275554093,-73.84425439,Private room,160,1,0,,,1,364,0,
924826301876268684,Home in Albany · ★New · 1 bedroom · 2 beds · 1 shared bath,382446799,Elizabeth,,NINTH WARD,42.654965911269095,-73.78021705,Private room,44,1,0,,,2,321,0,
