listing_id,date
3820211,1/13/2018
3820211,1/17/2018
3820211,1/18/2018
3820211,1/21/2018
3820211,1/28/2018
3820211,1/30/2018
3820211,2/1/2018
3820211,4/1/2018
3820211,4/2/2018
3820211,4/3/2018
3820211,4/8/2018
3820211,4/20/2018
3820211,4/22/2018
3820211,4/28/2018
3820211,5/5/2018
3820211,5/11/2018
3820211,5/20/2018
3820211,5/23/2018
3820211,5/26/2018
3820211,5/28/2018
3820211,6/1/2018
3820211,6/3/2018
3820211,6/10/2018
3820211,6/22/2018
3820211,6/24/2018
3820211,6/27/2018
3820211,6/29/2018
3820211,7/6/2018
3820211,7/7/2018
3820211,7/9/2018
3820211,7/10/2018
3820211,7/15/2018
3820211,7/20/2018
3820211,7/23/2018
3820211,7/28/2018
3820211,7/30/2018
3820211,8/4/2018
3820211,8/5/2018
3820211,8/12/2018
3820211,8/18/2018
3820211,9/9/2018
3820211,10/6/2018
3820211,10/13/2018
3820211,10/15/2018
3820211,10/18/2018
3820211,10/21/2018
3820211,10/28/2018
3820211,10/30/2018
3820211,11/11/2018
3820211,11/12/2018
3820211,11/16/2018
3820211,11/18/2018
3820211,11/22/2018
3820211,11/25/2018
3820211,12/2/2018
3820211,12/31/2018
3820211,1/1/2019
3820211,1/27/2019
3820211,2/5/2019
3820211,2/17/2019
3820211,2/24/2019
3820211,2/27/2019
3820211,3/7/2019
3820211,3/12/2019
3820211,3/13/2019
3820211,3/16/2019
3820211,3/17/2019
3820211,3/21/2019
3820211,4/10/2019
3820211,4/30/2019
3820211,5/4/2019
3820211,5/11/2019
3820211,5/12/2019
3820211,5/22/2019
3820211,5/24/2019
3820211,6/2/2019
3820211,8/11/2019
3820211,8/14/2019
3820211,8/18/2019
3820211,9/8/2019
3820211,9/9/2019
3820211,9/15/2019
3820211,9/22/2019
3820211,9/29/2019
3820211,10/3/2019
3820211,10/12/2019
3820211,10/14/2019
3820211,10/17/2019
3820211,10/20/2019
3820211,10/22/2019
3820211,10/27/2019
3820211,11/17/2019
3820211,11/21/2019
3820211,6/5/2020
3820211,6/15/2020
3820211,12/30/2020
3820211,1/2/2021
3820211,3/14/2021
3820211,3/27/2021
3820211,3/28/2021
3820211,6/11/2022
3820211,8/25/2022
3820211,9/4/2022
3820211,10/1/2022
3820211,2/23/2023
3820211,3/19/2023
3820211,5/29/2023
3820211,8/14/2023
5651579,5/8/2015
5651579,5/13/2015
5651579,5/15/2015
5651579,7/31/2015
5651579,10/12/2015
5651579,10/17/2015
5651579,1/30/2016
5651579,2/25/2016
5651579,3/10/2016
5651579,3/19/2016
5651579,3/24/2016
5651579,4/6/2016
5651579,4/17/2016
